"";"Country.Region";"Lat";"Long";"date";"name";"confirmed";"death";"recovered"
"336";"Andorra";42,5063;1,5218;2020-02-20;"Andorra";0;0;0
"337";"Andorra";42,5063;1,5218;2020-02-21;"Andorra";0;0;0
"338";"Andorra";42,5063;1,5218;2020-02-22;"Andorra";0;0;0
"339";"Andorra";42,5063;1,5218;2020-02-23;"Andorra";0;0;0
"340";"Andorra";42,5063;1,5218;2020-02-24;"Andorra";0;0;0
"341";"Andorra";42,5063;1,5218;2020-02-25;"Andorra";0;0;0
"342";"Andorra";42,5063;1,5218;2020-02-26;"Andorra";0;0;0
"343";"Andorra";42,5063;1,5218;2020-02-27;"Andorra";0;0;0
"344";"Andorra";42,5063;1,5218;2020-02-28;"Andorra";0;0;0
"345";"Andorra";42,5063;1,5218;2020-02-29;"Andorra";0;0;0
"346";"Andorra";42,5063;1,5218;2020-03-01;"Andorra";0;0;0
"347";"Andorra";42,5063;1,5218;2020-03-02;"Andorra";1;0;0
"348";"Andorra";42,5063;1,5218;2020-03-03;"Andorra";0;0;0
"349";"Andorra";42,5063;1,5218;2020-03-04;"Andorra";0;0;0
"350";"Andorra";42,5063;1,5218;2020-03-05;"Andorra";0;0;0
"351";"Andorra";42,5063;1,5218;2020-03-06;"Andorra";0;0;0
"352";"Andorra";42,5063;1,5218;2020-03-07;"Andorra";0;0;0
"353";"Andorra";42,5063;1,5218;2020-03-08;"Andorra";0;0;0
"354";"Andorra";42,5063;1,5218;2020-03-09;"Andorra";0;0;0
"355";"Andorra";42,5063;1,5218;2020-03-10;"Andorra";0;0;0
"356";"Andorra";42,5063;1,5218;2020-03-11;"Andorra";0;0;0
"357";"Andorra";42,5063;1,5218;2020-03-12;"Andorra";0;0;1
"358";"Andorra";42,5063;1,5218;2020-03-13;"Andorra";0;0;-1
"359";"Andorra";42,5063;1,5218;2020-03-14;"Andorra";0;0;1
"360";"Andorra";42,5063;1,5218;2020-03-15;"Andorra";0;0;0
"361";"Andorra";42,5063;1,5218;2020-03-16;"Andorra";1;0;0
"362";"Andorra";42,5063;1,5218;2020-03-17;"Andorra";37;0;0
"363";"Andorra";42,5063;1,5218;2020-03-18;"Andorra";0;0;0
"364";"Andorra";42,5063;1,5218;2020-03-19;"Andorra";14;0;0
"365";"Andorra";42,5063;1,5218;2020-03-20;"Andorra";22;0;0
"366";"Andorra";42,5063;1,5218;2020-03-21;"Andorra";13;0;0
"367";"Andorra";42,5063;1,5218;2020-03-22;"Andorra";25;1;0
"368";"Andorra";42,5063;1,5218;2020-03-23;"Andorra";20;0;0
"369";"Andorra";42,5063;1,5218;2020-03-24;"Andorra";31;0;0
"370";"Andorra";42,5063;1,5218;2020-03-25;"Andorra";24;0;0
"371";"Andorra";42,5063;1,5218;2020-03-26;"Andorra";36;2;0
"372";"Andorra";42,5063;1,5218;2020-03-27;"Andorra";43;0;0
"373";"Andorra";42,5063;1,5218;2020-03-28;"Andorra";41;0;0
